Time,Country Name,Country Code,womenlaborforce
2012,Afghanistan,AFG,16.44
2012,Albania,ALB,55.1
2012,Algeria,DZA,17.48
2012,American Samoa,ASM,
2012,Andorra,AND,
2012,Angola,AGO,76.73
2012,Antigua and Barbuda,ATG,
2012,Argentina,ARG,55.92
2012,Armenia,ARM,58.19
2012,Aruba,ABW,
2012,Australia,AUS,70.35
2012,Austria,AUT,70.31
2012,Azerbaijan,AZE,66.43
2012,"Bahamas, The",BHS,75.28
2012,Bahrain,BHR,44.68
2012,Bangladesh,BGD,32.26
2012,Barbados,BRB,73.82
2012,Belarus,BLR,73.03
2012,Belgium,BEL,61.11
2012,Belize,BLZ,48.89
2012,Benin,BEN,69.52
2012,Bermuda,BMU,
2012,Bhutan,BTN,64.73
2012,Bolivia,BOL,60.09
2012,Bosnia and Herzegovina,BIH,42.03
2012,Botswana,BWA,63.69
2012,Brazil,BRA,58.32
2012,British Virgin Islands,VGB,
2012,Brunei Darussalam,BRN,60.35
2012,Bulgaria,BGR,63.14
2012,Burkina Faso,BFA,60.46
2012,Burundi,BDI,80.95
2012,Cabo Verde,CPV,52.71
2012,Cambodia,KHM,81.8
2012,Cameroon,CMR,71.68
2012,Canada,CAN,74.26
2012,Cayman Islands,CYM,
2012,Central African Republic,CAF,66.25
2012,Chad,TCD,64.26
2012,Channel Islands,CHI,63.65
2012,Chile,CHL,55.18
2012,China,CHN,69.47
2012,Colombia,COL,62.58
2012,Comoros,COM,34.05
2012,"Congo, Dem. Rep.",COD,62.02
2012,"Congo, Rep.",COG,68.76
2012,Costa Rica,CRI,55.52
2012,Cote d'Ivoire,CIV,45.83
2012,Croatia,HRV,58.04
2012,Cuba,CUB,50.16
2012,Curacao,CUW,
2012,Cyprus,CYP,65.76
2012,Czech Republic,CZE,63.4
2012,Denmark,DNK,74.08
2012,Djibouti,DJI,53.04
2012,Dominica,DMA,
2012,Dominican Republic,DOM,49.01
2012,Ecuador,ECU,53.07
2012,"Egypt, Arab Rep.",EGY,24.19
2012,El Salvador,SLV,50.05
2012,Equatorial Guinea,GNQ,55.59
2012,Eritrea,ERI,74.72
2012,Estonia,EST,71.58
2012,Eswatini,SWZ,48.52
2012,Ethiopia,ETH,76.15
2012,Faroe Islands,FRO,
2012,Fiji,FJI,45.61
2012,Finland,FIN,73.21
2012,France,FRA,66.15
