"city","grade","group","pretest","posttest"
"Fresno",1,"Treatment",13.8,48.9
"Fresno",1,"Control",12.3,52.3
"Fresno",1,"Treatment",16.5,70.5
"Fresno",1,"Control",14.4,55
"Fresno",1,"Treatment",18.5,89.7
"Fresno",1,"Control",17.7,80.4
"Fresno",1,"Treatment",8.8,44.2
"Fresno",1,"Control",11.5,47
"Fresno",1,"Treatment",15.3,77.5
"Fresno",1,"Control",16.4,69.7
"Fresno",1,"Treatment",15,84.7
"Fresno",1,"Control",16.8,74.1
"Fresno",1,"Treatment",19.4,78.9
"Fresno",1,"Control",18.7,72.7
"Fresno",1,"Treatment",15,86.8
"Fresno",1,"Control",18.2,97.3
"Fresno",1,"Treatment",11.8,60.8
"Fresno",1,"Control",15.4,74.1
"Fresno",1,"Treatment",16.4,75.7
"Fresno",1,"Control",18.7,76.3
"Fresno",1,"Treatment",16.2,95.1
"Fresno",1,"Control",17.1,84.5
"Fresno",2,"Treatment",55.1,81.6
"Fresno",2,"Control",50.3,69.1
"Fresno",2,"Treatment",73.1,101.2
"Fresno",2,"Control",63.3,77
"Fresno",2,"Treatment",51.4,66.4
"Fresno",2,"Control",50.6,72.9
"Fresno",2,"Treatment",62.3,96.2
"Fresno",2,"Control",66.4,94.4
"Fresno",2,"Treatment",69.7,101.3
"Fresno",2,"Control",73.7,98
"Fresno",2,"Treatment",70.9,108.9
"Fresno",2,"Control",46,82.4
"Fresno",2,"Treatment",82.5,114.6
"Fresno",2,"Control",88.6,104.9
"Fresno",2,"Treatment",83.9,111.7
"Fresno",2,"Control",78.4,102.4
"Fresno",2,"Treatment",69.8,97.3
"Fresno",2,"Control",61.1,95.3
"Fresno",2,"Treatment",69.2,96.5
"Fresno",2,"Control",68.9,89.5
"Fresno",2,"Treatment",75.1,94.9
"Fresno",2,"Control",66.6,80
"Fresno",2,"Treatment",68.2,104.8
"Fresno",2,"Control",67.5,96.9
"Fresno",2,"Treatment",83.5,104.5
"Fresno",2,"Control",87.3,102.9
"Fresno",2,"Treatment",71.7,108.3
"Fresno",2,"Control",40.8,68.9
"Fresno",3,"Treatment",77.6,92.8
"Fresno",3,"Control",103.7,110.6
"Fresno",3,"Treatment",96.5,104.9
"Fresno",3,"Control",95.4,107.6
"Fresno",3,"Treatment",64.2,88.9
"Fresno",3,"Control",68.6,90.5
"Fresno",3,"Treatment",88.3,109.9
